Time,	PI,	L1,	L2,	L3,	L4,	L5
0,	100,	100,	100,	100,	100,	100
1,	88.28,	,	,	,	,
2,	82.09,	, ,	,	,
14,	64.03,	,	,	,	,
25,	,97.22,	96.58,	98.07,	97.65,	95.83
27,	56.87,	, ,	,	,
57,	48.58,	,	,	,	,
134,	,	82.03,	78.18,	74.44,	76.04,	76.04
161,	34.55,	73.05,	68.13,	65.35,	65.13,	65.13
195,	,	72.30,	65.99,	67.06,	67.38,	67.38
234,	,	67.81,	61.18,	63.10,	63.42,	63.42
296,	,	59.89,	56.15,	57.43,	57.43,	57.43
371,	,	48.56,	45.78,	46.52,	46.52,	47.27
527,	,	47.17,	39.79,	46.84,	40.00,	41.28
591,	,	33.58,	25.24,	37.43,	35.40,	31.55
653,	,	25.67,	10.59,	39.14,	36.79,	26.52
