Time,	UPLt,	BLt,	PPo,	PLt,	PFPg,	PFLt,	BSBm,	BSLt,	LPEp,	LPLt
0,	100,	100,	100,	100, 100,	100, 100,	100, 100,	100
15, 78.65, 74.25,	,	, 80.75, 76.45, 62.19, 80.99, 80.97, 71.78
30, 71.49, 71.49, 87.38, 80.84, 76.08, 71.41, 47.46, 74.15, 71.45, 65.61
40,	,	, 84.59, 76.03
50, 67.69, 65.91, 83.05, 73.52, 72.72, 68.70, 41.94, 70.53, 66.79, 62.90
60, , , 82.21, 72.26, 71.23, 67.02, 40.41, 69.19, 64.08, 61.16
80,	64.74, 64.74,	78.72, 66.05,	70.02, 64.78, 39.83, 67.66,	61.05, 58.99
110, 62.97,	62.97, 75.99,	63.04, , , 39.63,	65.84, 57.58,	56.71
140, , , 73.18,	59.61, 66.47,	59.00, 39.80,	63.83, 52.59,	53.99
170, 59.90,	59.90, , , 64.14,	55.83, 39.59,	61.15, 48.03,	51.17
200, , , 69.11,	57.21, 62.28,	53.50, 39.38,	59.42, 44.56,	48.89
230, 57.16,	57.81, 67.00,	55.94, , , 39.46,	57.70, 41.63,	46.93
260, , , 64.83,	54.73, 58.65,	49.49, 39.63,	55.88, 39.02, 44.54
290, 54.74,	54.87, 63.14,	53.53, , , 39.05,	53.96, 35.77,	41.93
310, , , 62.02, 52.69
320, , , 61.10,	52.26, 55.01,	44.83, 39.13,	52.33, 34.02,	40.29
340, 52.85,	52.98, , , 54.64,	44.27, 39.02,	51.56
350, , , 59.63,	51.06, 53.43,	43.15, 39.01,	50.60, 31.85,	38.34
370, 51.74,	51.74, , , 52.78,	42.31, , , 30.11,	37.46
380, 51.48,	51.48, 58.15,	50.21, 52.22,	41.38, 39.00,	48.87, 28.92,	36.59
390, , , 57.16,	49.72, , , 39.09,	48.30, 27.94,	35.83
410, , , , , , , 38.89,	47.34, 26.96,	34.96
420, 49.19,	50.18, 55.90,	48.72, 51.01, 39.05, 38.88,	46.48, 25.66,	33.87
450, 47.75,	49.53, , , 49.43,	37.56, 39.15,	45.13, 23.05,	32.02
470, , , 53.57,	47.30
500, 46.52, 48.22, , , 47.94,	34.95, 39.21,	42.92, 20.65,	29.30
