Time,ESHG,ESWG,ESUG,ERHG,ERWG,ERUG,LQSHG,LQSWG,LQSUG,LQRHG,LQRWG,LQRUG
0,100,100,100,100,100,100,100,100,100,100,100,100
26,98.89,97.08,94.81,94.91,91.29,90.39,91.50,95.36,96.27,94.50,97.98,93.94
45,92.33,90.74,90.18,84.96,84.85,83.04,86.97,90.26,91.85,85.75,91.47,87.77
58,88.82,88.59,89.05,83.04,82.02,77.72,,,,,,
72,83.62,83.84,82.37,77.50,77.84,76.03,77.45,85.84,84.14,83.62,85.30,85.30
89,84.41,84.41,80.11,71.62,75.80,71.28,74.06,83.47,81.77,83.50,85.29,85.29
112,77.63,81.93,79.89,70.72,72.30,63.36,74.40,78.94,78.83,79.91,79.79,81.25
357,76.46,79.06,77.93,67.36,68.49,66.57,70.38,77.75,75.02,81.76,79.63,84.34
388,,,,,,,59.95,73.56,74.92,79.85,81.64,80.41
420,64.70,74.33,68.66,66.24,68.72,69.74,55.54,68.46,67.67,76.92,84.66,81.63
446,,,,,,,53.96,66.77,62.69,78.49,82.86,76.36
472,61.43,66.30,67.09,64.55,64.55,60.36,,,,,,
736,59.81,66.04,65.70,65.38,60.85,52.25,,,,,,
804,51.12,58.47,55.53,56.45,58.48,54.30,,,,,,
