species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, iron, lignin, cellulose, hemicellulose, cell solubles, SLA
Combretum glutinosum1, deciduous, no, roots,, 50.9, 1.51, 34, 0.06, 0.06, 0.03, 0.28,,,,, 2.39,,, 60.7
Combretum glutinosum2, deciduous, no, roots,, 49.1, 0.98, 50, 0.04, 0.05, 0.02, 0.18,,,,, 1.73,,, 40.4
Combretum glutinosum3, deciduous, no, roots,, 48.6, 0.84, 58, 0.03, 0.03, 0.02, 0.14,,,,, 1.13,,, 33.5
Combretum geitonophyllum1, deciduous, no, roots,, 50.7, 0.57, 89, 0.05, 0.28, 0.02, 0.21,,,,, 2.53,,, 58
Combretum geitonophyllum2, deciduous, no, roots,, 49.7, 0.5, 100, 0.05, 0.23, 0.02, 0.12,,,,, 2.19,,, 19.5
Combretum geitonophyllum3, deciduous, no, roots,, 49.5, 0.54, 91, 0.05, 0.26, 0.01, 0.08,,,,, 1.83,,, 18.1
Combretum glutinosum4, deciduous, no, roots,, 50.1, 0.61, 82, 0.05, 0.32, 0.02, 0.24,,,,, 1.5,,, 23.7
Combretum glutinosum5, deciduous, no, roots,, 49, 0.56, 87, 0.04, 0.22, 0.01, 0.16,,,,, 0.98,,, 20.3
Combretum glutinosum6, deciduous, no, roots,, 48.7, 0.55, 88, 0.04, 0.18, 0.01, 0.13,,,,, 0.8,,, 20
Dichrostachys cinerea1, deciduous, yes, roots,, 49, 1.7, 29, 0.07, 0.41, 0.02, 0.2,,,,, 0.98,,, 16.5
Dichrostachys cinerea2, deciduous, yes, roots,, 48.7, 1.56, 31, 0.07, 0.28, 0.02,0.21,,,,, 1.13,,, 15.9
Dichrostachys cinerea3, deciduous, yes, roots,, 49.2, 1.28, 38, 0.06, 0.24, 0.01, 0.17,,,,, 1.38,,, 19.5
Terminalia macroptera1, deciduous, no, roots,, 50.6, 0.54, 94, 0.05, 0.37, 0.03, 0.18,,,,, 2,,, 20.3
Terminalia macroptera2, deciduous, no, roots,, 48.7, 0.39, 125, 0.03, 0.22, 0.02, 0.12,,,,, 1.96,,, 12.9
Terminalia macroptera3, deciduous, no, roots,, 48.6, 0.37, 133, 0.03, 0.2, 0.01, 0.09,,,,, 1.44,,, 12.5
