Time,Control,Nadd,Padd,Npadd
0,"5,969071635298752","6,0452793999280745","5,960590825831092","5,902872286527144"
4,"5,931978148065694","5,966913842412619","5,88571651272458","5,803367239565064"
8,"5,894850410151903","5,898840614457213","5,808386920768541","5,7013835301453675"
12,"5,85258507012827","5,825629784391966","5,7335048131259985","5,5944892630266185"
16,"5,619594814446938","5,566865891459594","5,6167426633929605","5,48511633345025"
20,"5,345383864504308","5,101895775178533","5,2389259129350325","5,1417748158540855"
,,,,
,"931261,471000098","1109888,62371461","913252,407639046","799599,081417406"
,"855023,690483178","926645,972318657","768628,551465186","635868,395116396"
,"784965,211989489","792210,536826832","643260,554506369","502786,409628521"
,"712172,28750611","669313,807636992","541383,24780084","393087,526565057"
,"416480,636458461","368863,677233493","413754,436350126","305573,953742094"
,"221505,168601373","126443,286421351","173350,82502857","138603,697451009"
