species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, iron, lignin, cellulose, hemicellulose, cell solubles, SLA
Hedysarum laeve, deciduous, yes, leaves, 0.5, 50.19, 2.56, 19.64,,,,,,,,,,,,,,,, 9.98
Lespedeza davurica, deciduous, yes, leaves, 0.5, 48.91, 1.84, 26.64,,,,,,,,,,,,,,,, 12.09
Agriophyllum pungens, forb, no, leaves, 0.5, 43.70, 0.93, 46.88,,,,,,,,,,,,,,,, 14.03
Salix cheilophila, deciduous, no, leaves, 0.5, 54.66, 0.92, 59.28,,,,,,,,,,,,,,,, 9.41
Leymus chinensis, graminoid, no, leaves, 0.5, 50.22, 1.74, 28.93,,,,,,,,,,,,,,,, 10.49
Achnatherum sibiricum, graminoid, no, leaves, 0.5, 49.58, 1.63, 30.5,,,,,,,,,,,,,,,, 8.22
Stipa krylovii, graminoid, no, leaves, 0.5, 51.36, 1.31, 39.08,,,,,,,,,,,,,,,, 5
Agropyron cristatum, graminoid, no, leaves, 0.5, 52.38, 1.07, 48.96,,,,,,,,,,,,,,,, 6.52
Caragana korshinskii, deciduous, yes, leaves, 0.5, 52.2, 2.93, 17.79,,,,,,,,,,,,,,,, 13.26
Salix gordejevii, deciduous, no, leaves, 0.5, 54.75, 2, 27.37,,,,,,,,,,,,,,,, 12.43
Calligonum mongolicum, deciduous, no, leaves, 0.5, 37.20, 1.34, 27.81,,,,,,,,,,,,39.06,,,, 2.36
Alhagi sparsifolia, deciduous, yes, leaves, 0.5, 47.42, 1.8, 26.41,,,,,,,,,,,,41.14,,,, 6.57
Nitraria tangutorum, deciduous, no, leaves, 0.5, 35.43, 2.9, 12.21,,,,,,,,,,,,,,,, 7.84
