Time,CDOC,CDOF,CDSC,CDSF,CROC,CROF,CRSC,CRSF,GDOC,GDOF,GDSC,GDSF,GROC,GROF,GRSC,GRSF,CrDOC,CrDOF,CrDSC,CrDSF,CrROC,CrROF,CrRSC,CrRSF
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,,,,,90.841,96.56,74.237,87.618,,,,,85.475,95.481,81.671,89.559,,,,,79.844,90.179,77.718,87.565
3,91.284,94.954,70.642,75,,,,,89.281,91.235,73.506,71.198,,,,,61.871,64.879,67.014,66.882,,,,
6,88.303,96.101,62.208,74.771,,,,,86.176,92.167,68.894,72.12,66.125,80.046,46.868,62.321,64.702,65.414,63.892,65.986,,,,
8,,,,,86.697,90.569,41.367,63.836,,,,,,,,,,,,,58.244,67.83,48.812,61.009
9,87.668,94.533,59.174,74.541,,,,,,,,,,,,,62.809,64.809,59.096,66.021,,,,
10,,,,,83.762,90.764,40.217,55.023,,,,,56.613,77.502,37.819,58.933,,,,,52.045,63.352,50.015,53.493
14,87.615,91.972,46.789,71.311,,,,,86.635,90.553,69.835,72.811,,,,,61.023,63.893,61.687,64.966,,,,
15,,,,,77.05,89.351,29.575,54.727,,,,,49.884,74.014,27.676,52.022,,,,,46.403,59.416,32.681,54.448
17,89.472,93.578,48.853,70.872,,,,,87.106,91.934,62.212,69.82,,,,,58.562,64.147,57.545,64.361,,,,
20,89.679,93.103,50.917,70.432,72.641,84.012,20.501,48.404,82.042,89.872,61.521,66.623,38.61,65.661,20.922,47.357,,,,,34.796,53.407,23.189,47.268
