Time,CK,LN,MN,HN,AS,SN,CAN
0,100,100,100,100,100,100,100
60,70.957,71.4,72.845,76.656,75.761,74.191,72.973
90,71.167,71.652,72.503,72.992,74.543,74.99,72.755
120,70.28,70.583,72.769,71.599,74.326,72.897,71.868
300,66.996,66.913,69.42,70.55,72.81,70.784,70.76
360,64.468,63.942,68.914,69.555,68.948,69.901,69.809
420,64.059,63.764,68.899,68.955,71.918,70.354,69.216
450,62.023,62.91,69.089,65.58,67.37,69.023,68.98
480,60.631,61.131,67.284,64.449,66.572,67.913,68.45
660,53.801,54.819,62.36,59.538,58.338,61.772,63.925
750,50.181,51.119,61.832,57.976,70.866,65.039,62.369
840,49.317,51.064,59.738,57.291,67.749,62.051,60.75
1020,45.863,47.283,53.855,57.372,59.964,63.319,55.919
1110,44.371,44.658,51.282,51.927,69.145,63.672,52.128
1200,39.928,42.99,48.146,47.584,58.467,55.974,49.94
