Time,HBFg,HBFm,HSFg,SiBFg,SiBFm,SiSFg,ScJTW,ScJTC,ScJSW,ScJSC,ScJLW,ScJLC,ScSTW,ScSTC,ScSSW,ScSSC,ScSLW,ScSLC
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
13,89.05,90.97,94.96,,,,,,,,,,,,,,,
28,80.77,72.47,83.32,78.91,86.69,91.93,,,,,,,,,,,,
34,,,,,,,,,,,,,94.01,97.94,89.87,98.01,90.90,98.01
57,71.86,62.92,81.11,47.35,74.97,83.86,,,,,,,,,,,,
67,,,,,,,92.90,95.03,93.93,93.93,93.93,93.93,,,,,,
85,57.20,61.03,72.20,48.33,77.22,73.88,,,,,,,,,,,,
90,,,,,,,,,,,,,87.03,96.96,84.07,91.17,77.10,90.00
123,56.76,59.95,72.08,60.27,75.34,81.22,,,,,,,,,,,,
133,,,,,,,85.12,85.94,83.88,87.04,83.06,86.97,86.95,92.88,84.88,87.02,80.95,88.95
159,,53.76,59.98,45.54,64.42,72.36,,,,,,,,,,,,
184,63.03,52.98,61.28,,,,,,,,,,,,,,,
197,,,,,,,82.90,80.98,84.00,83.04,80.98,,,,,,,
214,60.35,52.21,61.47,56.22,64.63,84.63,,,,,,,,,,,,
241,52.87,53.99,66.28,66.56,71.32,72.43,,,,,,,,,,,,
290,,,,,,,78.95,82.86,80.87,81.97,77.92,84.92,,,,,,
304,52.93,54.36,68.41,33.44,69.47,68.20,,,,,,,,,,,,
322,,,,,,,68.92,81.96,74.07,80.93,75.09,83.95,,,,,,
362,60.00,58.09,67.34,14.61,60.64,69.53,,,,,,,,,,,,
380,,,,,,,68.89,78.99,74.04,78.99,74.04,79.88,,,,,,
425,,,,,,,67.92,75.88,73.89,78.97,72.93,78.01,,,,,,
