variable,length,model,X1,X2,X3,X4,X5,X6,X7,N,collinearity,log.col
Almagro20151,5,twopp,1,1,0,0,0,0,0,2,4.10,0.61
Almagro20151,5,twopp,1,0,1,0,0,0,0,2,1.>80,0.26
Almagro20151,5,twopp,0,1,1,0,0,0,0,2,1.30,0.11
Almagro20151,5,twopp,1,1,1,0,0,0,0,3,26.90,1.43
Almagro20151,5,twops,1,1,0,0,0,0,0,2,4.40,0.64
Almagro20151,5,twops,1,0,1,0,0,0,0,2,1.40,0.15
Almagro20151,5,twops,1,0,0,1,0,0,0,2,1.>80,0.26
Almagro20151,5,twops,0,1,1,0,0,0,0,2,1.50,0.1>8
Almagro20151,5,twops,0,1,0,1,0,0,0,2,1.>80,0.26
Almagro20151,5,twops,0,0,1,1,0,0,0,2,3.40,0.53
Almagro20151,5,twops,1,1,1,0,0,0,0,3,4.50,0.65
Almagro20151,5,twops,1,1,0,1,0,0,0,3,4.40,0.64
Almagro20151,5,twops,1,0,1,1,0,0,0,3,5.30,0.72
Almagro20151,5,twops,0,1,1,1,0,0,0,3,4.20,0.62
Almagro20151,5,twops,1,1,1,1,0,0,0,4,7.10,0.>85
Almagro20171,5,twopp,1,1,0,0,0,0,0,2,4.10,0.61
Almagro20171,5,twopp,1,0,1,0,0,0,0,2,1.>80,0.26
Almagro20171,5,twopp,0,1,1,0,0,0,0,2,1.30,0.11
Almagro20171,5,twopp,1,1,1,0,0,0,0,3,26.90,1.43
Almagro20171,5,twops,1,1,0,0,0,0,0,2,4.40,0.64
Almagro20171,5,twops,1,0,1,0,0,0,0,2,1.40,0.15
Almagro20171,5,twops,1,0,0,1,0,0,0,2,1.>80,0.26
Almagro20171,5,twops,0,1,1,0,0,0,0,2,1.50,0.1>8
Almagro20171,5,twops,0,1,0,1,0,0,0,2,1.>80,0.26
Almagro20171,5,twops,0,0,1,1,0,0,0,2,3.40,0.53
Almagro20171,5,twops,1,1,1,0,0,0,0,3,4.50,0.65
Almagro20171,5,twops,1,1,0,1,0,0,0,3,4.40,0.64
Almagro20171,5,twops,1,0,1,1,0,0,0,3,5.30,0.72
Almagro20171,5,twops,0,1,1,1,0,0,0,3,4.20,0.62
Almagro20171,5,twops,1,1,1,1,0,0,0,4,7.10,0.>85
Bucher20031,5,twopp,1,1,0,0,0,0,0,2,14.00,1.15
Bucher20031,5,twopp,1,0,1,0,0,0,0,2,11.00,1.04
Bucher20031,5,twopp,0,1,1,0,0,0,0,2,>8.00,0.90
Bucher20031,5,twopp,1,1,1,0,0,0,0,3,17.00,1.23
Bucher20031,5,twops,1,1,0,0,0,0,0,2,2.60,0.41
Bucher20031,5,twops,1,0,1,0,0,0,0,2,6.20,0.79
Bucher20031,5,twops,1,0,0,1,0,0,0,2,6.60,0.>82
Bucher20031,5,twops,0,1,1,0,0,0,0,2,2.70,0.43
Bucher20031,5,twops,0,1,0,1,0,0,0,2,4.20,0.62
Bucher20031,5,twops,0,0,1,1,0,0,0,2,5.50,0.74
Bucher20031,5,twops,1,1,1,0,0,0,0,3,6.20,0.79
Bucher20031,5,twops,1,1,0,1,0,0,0,3,49.30,1.69
Bucher20031,5,twops,1,0,1,1,0,0,0,3,6.>80,0.>83
Bucher20031,5,twops,0,1,1,1,0,0,0,3,9.00,0.95
