Entry,Model,X1,X2,X3,X4,N,Collinearity,Identifiable,Timepoints,log.col
Abera2014,2pp,1,1,0,,2,2.2,TRUE,7,0.342422681
Abera2014,2pp,1,0,1,,2,3.1,TRUE,7,0.491361694
Abera2014,2pp,0,1,1,,2,6.8,TRUE,7,0.832508913
Abera2014,2pp,1,1,1,,3,34.7,FALSE,7,1.540329475
Abera2014,2ps,1,1,0,0,2,5.7,TRUE,7,0.755874856
Abera2014,2ps,1,0,1,0,2,12.9,TRUE,7,1.11058971
Abera2014,2ps,1,0,0,1,2,12.9,TRUE,7,1.11058971
Abera2014,2ps,0,1,1,0,2,10.1,TRUE,7,1.004321374
Abera2014,2ps,0,1,0,1,2,10.1,TRUE,7,1.004321374
Abera2014,2ps,0,0,1,1,2,1868827.5,FALSE,7,6.271569216
Abera2014,2ps,1,1,1,0,3,164.6,FALSE,7,2.216429831
Abera2014,2ps,1,1,0,1,3,164.6,FALSE,7,2.216429831
Abera2014,2ps,1,0,1,1,3,4778479.5,FALSE,7,6.679289727
Abera2014,2ps,0,1,1,1,3,5608591.1,FALSE,7,6.748853778
Abera2014,2ps,1,1,1,1,4,6085828.4,FALSE,7,6.784319703
Abramovich2010,2pp,1,1,0,,2,1.4,TRUE,11,0.146128036
Abramovich2010,2pp,1,0,1,,2,1.8,TRUE,11,0.255272505
Abramovich2010,2pp,0,1,1,,2,4.2,TRUE,11,0.62324929
Abramovich2010,2pp,1,1,1,,3,10.5,TRUE,11,1.021189299
Abramovich2010,2ps,1,1,0,0,2,3.2,TRUE,11,0.505149978
Abramovich2010,2ps,1,0,1,0,2,7.1,TRUE,11,0.851258349
Abramovich2010,2ps,1,0,0,1,2,7.1,TRUE,11,0.851258349
Abramovich2010,2ps,0,1,1,0,2,5.6,TRUE,11,0.748188027
Abramovich2010,2ps,0,1,0,1,2,5.6,TRUE,11,0.748188027
Abramovich2010,2ps,0,0,1,1,2,2739707.9,FALSE,11,6.437704262
Abramovich2010,2ps,1,1,1,0,3,44,FALSE,11,1.643452676
Abramovich2010,2ps,1,1,0,1,3,44,FALSE,11,1.643452676
Abramovich2010,2ps,1,0,1,1,3,4139857.6,FALSE,11,6.616985403
Abramovich2010,2ps,0,1,1,1,3,4017862.3,FALSE,11,6.603995049
Abramovich2010,2ps,1,1,1,1,4,4129244.1,FALSE,11,6.615870557
Adair2017,2pp,1,1,0,,2,1.4,TRUE,11,0.146128036
Adair2017,2pp,1,0,1,,2,1.5,TRUE,11,0.176091259
Adair2017,2pp,0,1,1,,2,3.1,TRUE,11,0.491361694
Adair2017,2pp,1,1,1,,3,3.1,TRUE,11,0.491361694
Adair2017,2ps,1,1,0,0,2,2.6,TRUE,11,0.414973348
Adair2017,2ps,1,0,1,0,2,15.6,TRUE,11,1.193124598
Adair2017,2ps,1,0,0,1,2,14.9,TRUE,11,1.173186268
Adair2017,2ps,0,1,1,0,2,3,TRUE,11,0.477121255
Adair2017,2ps,0,1,0,1,2,3.1,TRUE,11,0.491361694
Adair2017,2ps,0,0,1,1,2,131.2,FALSE,11,2.117933835
Adair2017,2ps,1,1,1,0,3,32.2,FALSE,11,1.507855872
Adair2017,2ps,1,1,0,1,3,35.1,FALSE,11,1.545307116
Adair2017,2ps,1,0,1,1,3,141,FALSE,11,2.149219113
Adair2017,2ps,0,1,1,1,3,161.1,FALSE,11,2.20709554
Adair2017,2ps,1,1,1,1,4,172.5,FALSE,11,2.236789099
Agbim1987,2pp,1,1,0,,2,3.5,TRUE,5,0.544068044
Agbim1987,2pp,1,0,1,,2,5.3,TRUE,5,0.72427587
Agbim1987,2pp,0,1,1,,2,9.6,TRUE,5,0.982271233
Agbim1987,2pp,1,1,1,,3,90.2,FALSE,5,1.955206538
Agbim1987,2ps,1,1,0,0,2,8.7,TRUE,5,0.939519253
Agbim1987,2ps,1,0,1,0,2,20.4,FALSE,5,1.309630167
Agbim1987,2ps,1,0,0,1,2,20.4,FALSE,5,1.309630167
Agbim1987,2ps,0,1,1,0,2,15,TRUE,5,1.176091259
Agbim1987,2ps,0,1,0,1,2,15,TRUE,5,1.176091259
Agbim1987,2ps,0,0,1,1,2,2391413.1,FALSE,5,6.378654604
Agbim1987,2ps,1,1,1,0,3,435.5,FALSE,5,2.638988159
Agbim1987,2ps,1,1,0,1,3,435.4,FALSE,5,2.638888425
Agbim1987,2ps,1,0,1,1,3,2722048.8,FALSE,5,6.434895907
Agbim1987,2ps,0,1,1,1,3,2813822.9,FALSE,5,6.44929676
Agbim1987,2ps,1,1,1,1,4,4849773.9,FALSE,5,6.685721492
Almagro2015,2pp,1,1,0,,2,1.2,TRUE,5,0.079181246
Almagro2015,2pp,1,0,1,,2,1.5,TRUE,5,0.176091259
Almagro2015,2pp,0,1,1,,2,3.9,TRUE,5,0.591064607
Almagro2015,2pp,1,1,1,,3,6.9,TRUE,5,0.838849091
Almagro2015,2ps,1,1,0,0,2,2.7,TRUE,5,0.431363764
Almagro2015,2ps,1,0,1,0,2,6,TRUE,5,0.77815125
Almagro2015,2ps,1,0,0,1,2,6,TRUE,5,0.77815125
Almagro2015,2ps,0,1,1,0,2,4.8,TRUE,5,0.681241237
Almagro2015,2ps,0,1,0,1,2,4.8,TRUE,5,0.681241237
Almagro2015,2ps,0,0,1,1,2,5377319.7,FALSE,5,6.730565858
Almagro2015,2ps,1,1,1,0,3,27.1,FALSE,5,1.432969291
Almagro2015,2ps,1,1,0,1,3,27.1,FALSE,5,1.432969291
Almagro2015,2ps,1,0,1,1,3,7049915.7,FALSE,5,6.848183924
Almagro2015,2ps,0,1,1,1,3,5936645.3,FALSE,5,6.773541102
Almagro2015,2ps,1,1,1,1,4,11181583.1,FALSE,5,7.048503296
Almagro2017,2pp,1,1,0,,2,1.2,TRUE,5,0.079181246
Almagro2017,2pp,1,0,1,,2,1.5,TRUE,5,0.176091259
Almagro2017,2pp,0,1,1,,2,3.9,TRUE,5,0.591064607
